,L.A. Confidential,The Godfather,Casablanca,Seven Samurai,Parasite,Schindler's List,Top Gun: Maverick,Toy Story 2,Chinatown,On the Waterfront,The Battle of Algiers,Toy Story,Rear Window,Modern Times,How to Train Your Dragon,All About Eve,Spirited Away,Up,The Third Man,Spotlight,Spider-Man: Into the Spider-Verse,The Philadelphia Story,Finding Nemo,Singin' in the Rain,12 Angry Men,Toy Story 3,Sunset Boulevard,Coco,"The Godfather, Part II",Three Colors: Red,Selma,Zootopia,Citizen Kane,Annie Hall,Cool Hand Luke,The Holdovers,Inside Out,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,Let the Right One In,The Lord of the Rings: The Two Towers,Knives Out,M,Toy Story 4,The Wrestler,Goodfellas,The Wizard of Oz,Double Indemnity,Psycho,Paddington 2,Before Sunrise,The Dark Knight,The Maltese Falcon,It Happened One Night,The Wages of Fear,North by Northwest,Bicycle Thieves,Alien,Argo,Get Out,The Kid,Mission: Impossible - Dead Reckoning Part One,The Pianist,Kind Hearts and Coronets,The 400 Blows,Grave of the Fireflies,The Big Sick,Minari,Portrait of a Lady on Fire,The Treasure of the Sierra Madre,Apocalypse Now,Mission: Impossible - Fallout,The Last Picture Show,Tampopo,Mad Max: Fury Road,Tokyo Story,A Hard Day's Night,Metropolis,Good Will Hunting,The Gold Rush,Aliens,Spider-Man: Across the Spider-Verse,"The Good, the Bad and the Ugly",Harry Potter and the Deathly Hallows: Part 2,The Silence of the Lambs,Fanny and Alexander,Laura,The Shop Around the Corner,His Girl Friday,All Quiet on the Western Front,"Monsters, Inc.",Nights of Cabiria,Pather Panchali,Meet Me in St. Louis,Witness for the Prosecution,Eighth Grade,Rebecca,Stalker,The Terminator,Memento,The Social Network,The Hurt Locker,12 Years a Slave,Catch Me if You Can,Jaws,A Man Escaped,Pan's Labyrinth,The Red Shoes,Anatomy of a Murder,Das Boot,Ikiru,Open City,Lady Bird,Hunt for the Wilderpeople,Hell or High Water,Army of Shadows,007: Goldfinger,The Lady Eve,Saving Private Ryan,Ratatouille,Star Trek,The Iron Giant,Monty Python and the Holy Grail,Star Wars: Episode IV - A New Hope,Shadow of a Doubt,WALL-E,Brooklyn,Mr. Smith Goes to Washington,Spider-Man: No Way Home,The Best Years of Our Lives,The Bridge on the River Kwai,Ali: Fear Eats the Soul,Whiplash,The Farewell,Unforgiven,The Adventures of Robin Hood,Pulp Fiction,The King's Speech,Leave No Trace,Star Wars: Episode V - The Empire Strikes Back,The Passion of Joan of Arc,Quiz Show,Avengers: Endgame,Ran,Safety Last,Iron Man,Moana,Little Women,Puss in Boots: The Last Wish,Casino Royale,The Handmaiden,La Haine,La Strada,Rashomon,Top Hat,The Artist,The Conformist,One Flew Over the Cuckoo's Nest,In the Heat of the Night,Raiders of the Lost Ark,The Peanut Butter Falcon,Paths of Glory,King Kong,Children of Paradise,A Beautiful Day in the Neighborhood,The LEGO Movie,Before Sunset,Soul,Creed,John Wick: Chapter 4,The Princess Bride,Sunrise,Before Midnight,Lawrence of Arabia,Strangers on a Train,Sling Blade,Kubo and the Two Strings,Sweet Smell of Success,The Thin Man,Once Upon a Time in the West,Eternal Sunshine of the Spotless Mind,Sense and Sensibility,BlacKkKlansman,Lost in Translation,Au Hasard Balthazar,Boyhood,The Grapes of Wrath,Sing Street,A Fistful of Dollars,The Truman Show,Life of Brian,8 1/2,Marriage Story,Searching for Bobby Fischer,Battleship Potemkin,Sullivan's Travels,The Red Circle,The Lost Weekend,The Nightmare Before Christmas,Oppenheimer,The Discreet Charm of the Bourgeoisie,The Lord of the Rings: The Fellowship of the Ring,Ford v Ferrari,My Left Foot,Room,The Lord of the Rings: The Return of the King,A Night at the Opera,Halloween,Air,The Sweet Hereafter,Playtime,True Grit,A Quiet Place,Mudbound,Boyz N the Hood,Brazil,Hidden Figures,Grand Illusion,The Conversation,Fargo,Diabolique,The Apartment,Apollo 13,Princess Mononoke,Umberto D,Black Panther,Bringing Up Baby,The Sting,Logan,Nightcrawler,The Departed,Juno,Hero,Shaun of the Dead,Stagecoach,Back to the Future,Die Hard,No Country for Old Men,The Lion King,Gravity,The Leopard,Day for Night,Badlands,Touch of Evil,Yojimbo,A Streetcar Named Desire,Breathless,The Manchurian Candidate,The French Connection,The Bourne Ultimatum,My Fair Lady,It's a Wonderful Life,Some Like It Hot,The Fugitive,Guardians of the Galaxy,Airplane!,Groundhog Day,This Is Spinal Tap,Beauty and the Beast,The Taking of Pelham One Two Three,City Lights,Kiki's Delivery Service,City of God,Rosemary's Baby,Call Me by Your Name,Aladdin,The Man With a Movie Camera,The Lady Vanishes,The Umbrellas of Cherbourg,Mission: Impossible Rogue Nation,Three Colors: Blue,Milk,Traffic,Invasion of the Body Snatchers,Thor: Ragnarok,The Odd Couple,Bride of Frankenstein,What's Love Got to Do With It,Star Wars: The Force Awakens,Roman Holiday,Amélie,To Be or Not to Be,All the President's Men,Throne of Blood,Taxi Driver,The Big Sleep,Marvel's the Avengers,Secrets & Lies,Dog Day Afternoon,Being There,Aguirre: The Wrath of God,Arrival,Wings of Desire,Raging Bull,Fruitvale Station,La Dolce Vita,The Killing,The Rules of the Game,Eyes Without a Face,The Cabinet of Dr. Caligari
user00098,1.5,,,,,,,3.5,,,,2.4,,3.1,,,,,,,2.8,,,,,,0.0,,,,,,,,,,,,,,,2.9,,0.0,3.9,,,,,4.6,3.5,,,,,,0.0,,,,,,,0.0,,,3.8,4.0,3.8,4.2,,,,,,,,,,,,,1.9,0.0,,,,2.6,,,,,2.3,,2.8,,,3.9,,,3.3,,,,,,4.2,,,0.0,,3.2,,,,,,4.1,,0.8,1.6,0.7,,,,2.5,0.0,4.2,,,,,,2.8,,,,,0.0,,,,,,3.1,,,0.9,,,3.5,2.9,0.8,,2.0,,3.7,,1.9,,,3.6,,,,,2.3,3.2,,,,2.4,,,,,2.4,1.3,,,5.0,1.5,,,,,,,,,4.1,,1.4,,2.2,,0.0,0.0,,3.6,2.7,2.9,,0.8,,,0.0,,3.7,,0.6,,,,,2.9,1.9,,3.9,0.0,1.5,,,,,,,0.0,,,,,,,3.0,4.0,,,,,,,2.2,,3.7,,,,,,,,,,,,,4.3,0.0,,,0.0,,,,2.7,,4.3,,2.2,,,,,,,,,,2.1,,,,,,,3.0,,,,,,4.6,,,,,,
user00099,,,,,,,,,1.2,,,,,4.6,,,1.9,,4.2,,,3.1,,1.8,3.0,,,2.5,,,2.5,0.2,0.7,,,,2.5,,3.3,,,,,,4.0,,,1.5,,3.9,,,,,,,,,,3.8,,5.0,,,3.0,,,,,,0.0,,4.0,,4.4,2.8,3.4,,,,,3.4,,,,,1.8,,,,1.8,4.0,,,,,3.1,,0.0,1.7,2.3,,,,,4.4,,1.1,,,,,4.4,,3.2,3.4,,1.3,1.6,,,,1.5,,,,,,,,,,,4.2,,4.4,2.1,2.4,,3.4,,,,3.8,,3.8,,,2.8,0.0,3.0,,,,,4.6,,,2.1,,,1.5,,3.4,0.0,,,,,2.8,,3.2,,,,1.1,0.0,3.2,0.0,,0.0,,2.3,,,0.0,,2.1,2.2,3.4,2.1,,,,3.1,,,1.4,1.8,,,,1.5,,4.4,,3.8,,,,1.4,3.0,,0.0,,2.0,,,,,0.4,,,,4.3,,2.4,,,,,2.0,,4.1,4.3,,0.9,,,,,,,,,,,,,,,,0.0,,,,,,3.0,,,3.1,4.4,4.2,,0.4,2.0,3.1,4.6,,,,,,,0.0,,,3.0,,2.1,3.4,,2.8,0.0,1.2,,,,,,,,1.9,,0.8,3.6,4.5,0.0
user00100,,3.1,2.5,,3.0,0.0,,,,,4.1,0.0,0.0,,,0.0,2.5,2.6,,,1.8,,0.4,2.0,,2.2,,3.1,,,,,,0.0,0.0,,,,,,1.4,2.8,,,,,0.7,,,2.3,0.0,,,4.5,1.2,,,,,,,,,,2.0,,0.6,0.0,,,,,,,,,0.0,,,,,,,,,3.2,,,2.7,,2.3,3.3,,,3.9,,5.0,,4.7,,,,,,,4.5,0.0,,,,,3.8,,1.4,,,,4.1,,,0.7,,,,,,,,,,1.2,3.2,,2.0,,,,,,,,,,,,,,1.9,,,,,,,1.1,1.1,,,,,3.8,2.9,,,2.9,0.0,3.0,,,,,,,,0.5,1.0,,0.0,0.0,,,,,,,,0.0,,,,1.7,1.9,,1.7,,,,,4.5,,,,,,,0.5,,,,,,,,,,,,,1.3,,3.7,,,,,,1.5,,0.5,,,,1.7,,,0.0,2.0,3.0,,,,,,1.4,1.0,0.8,,1.0,,0.0,,,,2.4,1.7,,0.0,,,,,,1.6,4.3,,,,0.0,,,,,,3.8,2.4,0.7,,4.6,,4.2,0.5,,,0.7,0.0,,,0.9,,,,,0.0,2.8,,4.2,2.5,,0.5
user00101,4.2,3.7,2.6,,,0.0,,0.6,,,,,,,,,,,0.9,,,,,,,,,2.6,,,,,0.6,1.4,,,0.0,0.0,0.0,,,,,,,5.0,,,,,,,,3.9,0.0,,,,,,,,,1.5,0.9,,,,,2.1,,,0.5,,,0.0,,,,,4.2,,,0.0,,2.1,2.1,,0.9,0.0,,4.0,5.0,,,,2.9,,,,3.9,,1.8,2.1,,,,,4.5,0.9,2.5,,1.9,,,1.0,4.0,,1.4,,,0.0,,,0.0,2.2,2.3,,1.7,,,2.6,,,2.3,,,,,,,,,2.2,5.0,4.5,0.0,,,,,0.7,,,1.9,,,2.7,,,,,2.0,,,,,3.5,1.7,3.5,1.3,3.6,,2.2,,,,,,,,0.0,,,,,,,1.1,,,,,3.0,,,,,0.0,,,3.4,3.8,1.1,,,1.7,,0.9,,,,,,,,,,,2.1,3.6,,,2.5,,1.6,,,0.6,,0.0,0.4,,,,,0.0,4.8,,,0.7,,,,,4.0,0.0,,,,,3.8,3.9,,,,,4.7,,3.1,2.8,,2.5,,1.7,,2.0,1.2,,,,4.3,,,1.8,,,,,0.0,,,3.4,,0.0,,,1.9,,2.0,,5.0,,,2.4,,,1.2,
user00102,,,,0.0,4.5,,,,,,4.4,2.9,,3.5,,5.0,,,3.4,4.1,,,,,4.7,,,,4.7,2.9,,0.0,,,,,1.5,,,,4.2,,,,,,,,,,1.9,2.2,3.5,3.4,,,0.0,,,,,2.9,,,4.4,,,,5.0,3.5,,4.5,,,,4.8,,4.0,0.0,2.1,,,,4.6,,,,4.3,2.0,,,4.3,,,,,,,,,0.0,,3.4,2.8,,,2.3,0.3,,,,,,2.8,,0.0,4.0,,,1.4,3.5,4.4,1.9,,,,,,,4.2,4.0,,,2.3,,,,5.0,,,4.7,0.0,,4.5,2.9,,5.0,,,,3.4,,,2.4,3.8,,,,,,,0.0,,,2.6,,,,,3.8,,,,0.0,4.8,,,,0.3,3.2,,3.7,,,5.0,4.6,,,,,1.6,4.4,4.0,,4.0,,,,,,,,,,,,,,,,,,,,2.1,,2.6,,2.4,,,,,,,,,0.7,,3.1,,,1.9,0.0,0.0,,,,,,,,2.7,,,,,,,,,,,5.0,,,1.6,,,,,4.2,,,1.5,,,,,,2.8,,,,,,,0.0,,5.0,4.6,,,,5.0,,,,,,,,,,,,,,4.0
user00103,,0.0,,,,3.7,3.5,,2.7,,0.4,,5.0,,,,,,3.5,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,1.7,,0.0,,0.9,2.3,,,3.8,,,,,,1.8,0.0,,,,4.1,,,,,4.0,2.3,3.3,,2.7,4.0,,,,,4.4,,,,0.0,,,,,,,,2.7,,4.4,0.7,,,,,,,,,,2.6,,3.3,0.0,3.5,,,,,,2.4,1.6,,0.0,,,,,,2.9,3.6,1.4,3.3,,,,3.0,4.2,1.8,2.4,4.8,,4.1,1.2,,1.6,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,0.0,,5.0,,,,,,,,,,3.6,2.9,1.8,,,,,,,,,1.7,,,,,,,,,,,,,,,,1.3,,,,2.8,,2.9,,,,,,2.8,,,,2.1,,,,,,0.8,3.1,,1.8,,,,,,3.4,,,,2.0,0.7,0.0,3.6,,,0.0,0.0,,,,,,,,4.8,,,,,1.8,,,,,,,,,4.4,,,,,,,,,,,4.0,,0.8,,,5.0,4.7,,3.8,0.0,,,3.4,1.9,1.3,1.3,,4.1,,0.0,,,,3.8,,,,2.7,,2.7,1.7,,,,0.0,,,2.8,4.1
user00104,,,,1.2,,1.8,,4.4,4.3,,,4.2,,,5.0,,4.3,,,,3.6,,4.3,,,5.0,2.6,5.0,,,,,,0.5,2.0,,,0.0,,,,,,1.0,,,1.8,,,,,3.5,0.8,,1.6,1.4,3.0,,1.4,1.2,3.7,,,,,,,3.6,,,,,3.7,,,,,,3.9,,,,,,,,,,4.1,,,,3.9,,,1.9,,2.8,,,,,,,,,2.7,,,,1.9,3.8,0.5,,3.6,0.0,,,,,4.6,,,,,3.9,2.5,2.2,,,,,,4.0,0.0,3.0,,0.0,,,0.0,0.0,,,,,,4.5,,,1.4,0.0,3.3,,,,,,1.1,0.0,2.0,,,,4.1,3.0,,,,,1.5,,,,,,,,,0.9,,,0.0,,,,4.6,,,,,,,,2.4,3.1,,,,,,,,,,,,2.0,0.0,1.7,3.1,0.0,,,,,,0.2,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,2.7,,2.3,,,,4.2,,4.3,2.3,2.6,,4.0,,0.0,2.2,0.6,2.3,3.5,3.3,,,,1.7,,,,2.1,1.8,4.1,,,3.8,,,2.2,0.0,2.9,,,0.4,0.7,,,2.1,3.7,,0.0,0.0,1.7,,,,,0.4,3.3
user00105,4.1,,,,0.0,,,,3.3,,,,,,,,,,0.0,2.3,,,,0.0,,,0.3,,2.3,,,2.0,1.4,,,,3.7,,,,0.9,,2.6,1.3,,0.0,,,,,,,,0.0,,,,,1.1,3.7,3.1,,,,,,,,,,2.3,,,0.0,,,1.9,,4.2,,,,,,,,1.8,0.0,,2.7,,0.0,,,,,,,,,,0.0,,,2.1,,,,1.7,,,,2.8,,,,,,,,0.0,,,1.3,3.2,,1.5,,2.3,,2.7,,,,,,0.5,3.7,0.9,,,3.6,3.1,,2.7,,1.2,,,,3.4,,4.8,,,,2.7,0.0,0.0,3.1,,,,,,,,,4.3,,1.2,,,,1.5,,,,4.4,1.7,,,,,,,,,,,,,3.1,,2.8,,1.7,,,,,,,,,,2.7,2.7,,,0.7,,0.8,,0.8,,0.0,,4.5,,,,3.3,,,0.9,,3.6,,,,,1.6,,,,,,,2.2,,0.0,,1.7,,,,,0.0,,,2.7,,,4.0,,,,,,,2.4,,1.4,,,1.3,0.9,0.0,0.4,3.2,1.6,,1.6,,,1.2,,2.3,,,,,,,,,,,,,,3.9,,,4.2,1.7,3.0,
user00106,,2.1,,,,,,,,0.0,,,2.7,,,,,2.0,0.0,,,,,,,2.9,,,,,0.0,,2.2,,,,,1.4,,,,2.4,,,,,,2.6,3.3,,,,0.4,,,,,,,,,,,,,1.7,,,,0.4,,1.9,,,,,0.0,3.7,,,,,2.7,,,,2.1,,,,,,,2.0,,,4.2,,,,3.8,,,,,1.0,,,,,1.8,,3.0,,,3.2,0.0,,,,,,,,,0.8,,,2.1,3.5,,,,,0.0,,,,,,0.0,,0.0,1.7,,,0.0,2.6,3.1,,,,0.0,,,,,,,,,,,,,,,,,,,,,4.1,,,0.0,,2.3,,1.8,,,0.0,,,,,,1.2,,,,,,,,,,0.0,,0.0,4.3,0.0,,,,,1.8,0.8,,0.0,,,,,,,0.0,,0.7,,,,,2.9,,,,,1.8,,,,,,,,,,3.0,,,,,,,,,,0.0,,1.7,,,,,4.0,,,,,,3.0,4.0,,,,,,,2.5,,,,,,2.6,,2.2,,,,4.3,,,1.4,0.0,,,,,3.2,,0.0,,2.2,,
user00107,,,,,4.1,,3.2,,3.8,3.0,,5.0,,,,,,,,,3.6,,,,,,1.4,,,,2.7,,1.2,,,2.7,,,,,,,,,,,1.1,2.1,3.7,,,,,0.0,,4.5,5.0,,1.3,0.8,,2.9,,,0.0,,,,,1.5,,2.9,,1.8,,,,,2.1,,4.5,3.9,,,,,,,,,,,2.6,3.5,,3.4,,1.6,,4.8,,2.6,,,,,,,,,,1.9,,,,,,,,,,3.1,,2.0,,,,,,,0.5,,,,,,,,,0.9,,,,,0.0,,,,,,,,,2.5,,,,,5.0,,,,,,,,,,,,,,3.1,,3.6,,,1.2,,2.9,4.0,,0.4,,,,,,,,,,,0.0,,,,,,0.0,,2.5,,,4.0,,,,,2.3,,0.0,0.0,,,,,,,,3.7,,,,,,,,4.5,,2.0,3.2,,,0.0,,0.0,4.6,,,,,,0.0,0.0,,2.7,,,3.9,2.3,,,,0.0,,0.0,4.2,,,1.4,,,,5.0,3.6,,,1.2,,,,,2.4,,,,,,2.3,2.2,,1.6,,,4.1,,,,,,,,0.0,3.1,,,,
user00108,3.2,,,,,,0.0,,,,3.1,,,,,2.0,0.0,,2.8,3.4,,,,4.8,0.0,,4.2,,,,2.4,0.0,,,,,0.0,,,,,,,,,,1.8,4.5,,,,,,2.8,4.0,,0.0,3.9,5.0,,,2.2,0.0,,2.6,,,,,2.0,,2.3,5.0,,,5.0,,,,,,,0.9,0.0,,3.7,5.0,,1.1,,,,,,,,3.8,0.0,,,,,,,2.5,,,,,,,,3.5,0.0,1.3,,,,0.0,,0.0,,0.6,,,,,,,4.2,4.3,0.2,0.0,1.8,,,,,0.5,,,,,,,2.0,,,,,,,,,,0.3,,,,,,,,,2.0,2.4,,0.0,,4.5,3.8,1.1,3.7,,3.5,2.8,,,,,,,,,,,,,,4.0,,4.4,,2.5,,,,0.9,,4.5,0.0,,5.0,,4.2,,1.4,,,,0.0,,1.1,,0.0,,0.0,,,,0.0,,,,0.0,,,1.8,0.0,,,,1.3,,,,,2.0,2.6,3.5,2.1,,,2.0,4.1,0.1,3.1,,,,0.8,,,,,,1.5,,,1.1,,2.6,2.9,0.0,3.4,1.1,,4.4,,,1.7,4.4,,,,,,,,,,4.1,2.4,0.0,,0.5,2.1,,,0.0,0.0,4.0,,,,,,3.5,
user00109,,,,3.0,2.8,,,,3.1,2.4,,,,,,,,,,,3.1,,,,1.0,,,2.6,,,,,2.2,,,,4.4,,0.4,,0.0,2.5,2.1,,,,4.1,2.3,,3.1,0.0,,,,,1.3,,,,0.7,,0.0,,2.9,,,4.0,,,,2.4,,1.1,,,,,,3.9,,,,,,,3.6,2.8,,,4.5,,,2.8,,,0.0,,,,,,3.5,,2.9,,4.1,2.9,0.9,,,,,,2.9,,1.9,,,4.0,0.0,,2.1,,2.9,,,3.8,,1.6,,0.0,,,,,4.4,,,,2.3,,,,,,,3.4,0.0,3.0,,0.0,,3.7,,,,,,0.0,,,,,,,,1.6,,,,,,0.0,2.8,,,2.4,,,2.2,,,,2.6,,,,0.0,,,,,,,,,,4.4,1.9,,,,,,,,,4.0,,,,,,,3.8,,,,2.3,,3.3,0.0,,1.7,0.0,,,1.4,,,,,,,4.4,,,,,,4.1,4.6,1.6,,0.0,,,,,,2.7,,,4.5,0.0,,,0.0,1.6,,1.8,,,0.0,0.0,,2.2,,,,,,,,1.4,1.5,1.6,,,,,2.5,,,,,3.3,1.1,,0.0,,,,,,3.7,,,0.5
user00110,1.2,,1.1,,3.4,,,,,0.0,,1.0,,,,,,0.0,,,,,1.4,,,,1.1,0.0,,,,,,,2.7,,,,,,,,,,,0.5,,3.6,,,,0.9,,,,2.8,,,2.0,,,,,,,,,,,,,,0.0,,,3.4,,,,2.2,1.6,,,,,,,1.8,1.7,,,,,,3.2,1.3,,,3.2,,2.6,0.0,,,,,,2.7,,,,,1.7,2.1,,0.0,0.0,1.4,,3.5,,2.3,,2.4,,,2.7,2.0,,,,,4.3,4.5,,,,2.1,,1.1,1.9,,0.0,3.7,,,,,2.2,,,,,0.0,1.8,3.0,,,1.7,2.3,1.8,2.7,,3.5,2.3,0.0,0.6,,,,,,,1.4,,2.2,1.5,,,,2.4,,,2.5,,2.2,,,2.0,,,,,,,2.2,,,,,0.3,,,1.1,3.1,,3.6,1.1,,,,,,,,,4.0,,,,1.6,,1.7,,,,,,3.2,0.0,,,3.2,,,,0.0,,,,2.3,,,,,,1.6,0.0,,2.3,0.0,,,,,3.8,0.0,,0.5,0.0,1.8,,,0.0,2.5,,0.0,4.0,,,,,3.7,,0.7,4.2,,,3.1,,2.5,,,,1.1,,,,,4.0,,2.3,,,,,3.3,,
user00111,,,3.8,,,,,,,,,,,1.9,,,3.3,0.0,2.2,,,,,0.8,0.0,,,,,,,,,,,0.9,1.7,2.8,,,,,2.4,0.5,,3.1,1.7,,,,0.0,,,,,0.0,,,1.0,3.3,,,3.3,,2.1,,,0.0,,,,,,,,0.0,0.0,,,,,2.7,,,,0.0,0.0,,,4.3,,1.3,,,,,2.7,,,4.1,0.0,,,,,,2.7,,,,,,1.0,0.0,,,,,,0.9,,,2.2,,4.0,0.0,2.4,,,,2.4,,,1.7,,4.7,2.4,,,,,5.0,,,,,,,2.3,,,,,,,,0.0,,,,,,,,,,,,2.5,,,,3.3,,,3.9,0.0,,,,,,2.1,,,0.0,,2.4,0.0,,,,,,,,,1.4,,3.4,3.0,1.4,,1.3,,,1.2,1.9,,2.7,3.2,,,2.1,,2.6,4.6,,0.0,,0.0,3.1,,1.2,,,,,,,3.2,2.3,,,,,1.4,,,,3.1,,,,,1.1,,0.0,,2.3,,,2.1,,,,2.2,1.0,3.9,,,3.2,1.4,,,,,1.4,,,,1.4,0.9,0.0,0.0,,,,0.4,,,3.9,,,,,,2.9,,0.0,1.7,,,,2.4,,,3.2,2.7
user00112,,,2.3,,,,3.2,,,0.5,,,,,,,,,1.3,,0.0,,,,,,3.2,1.6,,0.0,,,,,0.0,,,,3.1,0.0,,0.0,,,0.9,2.1,,2.4,2.7,,,3.1,3.5,2.1,,2.1,,,2.0,1.6,,,4.3,,0.0,,3.6,,,,2.0,,,0.0,,2.1,,,,1.2,,,2.7,2.9,,3.8,,,2.2,,0.0,,3.0,,,0.8,,1.2,,1.0,,,2.9,,4.5,,,,,0.0,,,,,,,,,,,,4.0,,1.4,,,,,,,,1.0,,,,4.2,2.8,,,2.6,,,0.0,,,,,0.0,,,,,1.7,,,2.4,3.4,2.7,,,1.2,0.2,3.3,,1.5,,,,,,,,,,,,3.0,3.6,,,,4.1,,,,,4.8,1.0,,,,,,,,,4.2,0.0,,0.0,,,4.4,,,,4.4,2.6,,,,,1.0,,,0.0,,,,,3.5,,,,,,,,,,,,,0.8,,,0.0,,,,,,0.0,,,3.3,1.1,4.5,,0.0,,,,3.1,,3.9,,,,,,,,,,,1.6,,,,3.4,,0.0,,,,,2.4,,,,,,,,,,,,1.8,,2.6,3.5,3.4,,3.3,,,
user00113,,,,,,,,4.3,0.0,,,,,,,,,,,,,,5.0,0.7,1.7,,,,,,,3.5,0.0,,,,4.0,,4.4,,,,,1.8,,,,0.5,2.9,2.3,,,,0.0,,,1.8,,,,,4.4,,3.1,,,1.9,,0.0,,,,,,,,,,3.4,0.0,,,2.3,,2.2,3.8,,,,5.0,,,2.7,4.0,,,0.0,,,,0.0,,,,,,0.0,2.5,,,,0.9,,4.6,,,,2.4,,,5.0,,3.9,,3.7,,,,,2.3,,,,,0.0,1.8,,2.9,,,,,2.1,3.8,,5.0,,,,2.5,0.0,,,,,,,2.9,,0.9,,0.8,,2.5,5.0,1.0,,,,3.5,,,,,,,,1.8,2.5,,2.9,,,,,0.8,,,,0.0,,,,0.8,2.6,,,,,2.3,,,,,2.8,,,,,,,,0.0,,4.0,,,,4.2,,1.9,,,2.3,2.6,3.2,0.0,,,,0.0,,4.6,,,,1.7,,,,,,1.8,1.3,2.2,,1.5,,,,,,,,2.7,,0.6,,,3.0,2.1,,4.4,,4.8,,3.2,,2.8,,,,,,0.0,1.7,,4.0,,0.0,,3.8,,,,2.7,2.2,,,,,,,,,,,,
user00114,,,,,,4.4,2.9,,,,,,,5.0,0.2,,,,2.1,2.6,,,1.8,,,0.0,0.0,,,,,,1.2,,,0.0,,,1.2,,,,,,,,,,1.4,,,,,,3.5,,,,,2.7,,4.6,,,,,,0.0,,2.9,0.8,0.0,,2.5,,4.5,1.9,1.3,,,,,,1.4,0.0,,4.8,,,,2.8,3.1,,,3.9,,0.8,,,,1.4,,,,,3.5,2.5,,4.1,,,3.3,,,,,,,0.0,,,,,,,,0.0,4.4,3.2,,,,,0.0,4.4,,,,,3.2,,,,,,,,,2.7,,,,1.3,2.8,3.7,,,,3.1,,,,,,,,,,,,1.1,,,,3.1,3.6,2.8,3.7,,1.1,,,,,,1.9,,,,,3.1,,,,,,,0.0,,4.5,,,3.9,,0.7,,,,0.0,,,,,1.5,0.0,,,3.0,,,,2.9,1.0,,,,0.0,,,,,,,1.6,2.0,,3.1,,0.0,,1.8,,,,,3.1,,,,3.4,,,0.0,,,,,,,,,,,,,0.5,,1.9,,,,3.6,,,,,2.9,,,,,1.0,0.9,,,2.8,2.1,,,,,,3.7,,,4.5,,,
user00115,,,,,,3.8,1.4,,,3.7,2.8,0.0,,,4.0,,,,,2.0,,2.5,,3.8,,4.2,0.0,,,,2.6,,,,,,1.4,0.0,2.3,,,1.1,,2.7,,5.0,0.0,,,,0.3,,,0.0,,2.8,1.8,,,,1.3,,0.0,,0.0,,1.2,0.0,,,2.1,3.4,2.2,,,,,0.0,2.8,,,3.0,0.0,,3.4,,3.2,,,,0.0,2.4,4.3,,,,,,,,2.2,,1.1,,1.6,,,,0.0,,,,,,2.9,,,,,,,,,,,,0.8,3.4,,2.6,,,2.7,,,,3.7,,,,,,,,0.0,0.0,0.4,,4.8,5.0,,,,,,2.7,,,,,0.0,1.5,,,,,0.6,,,,3.3,,,0.0,,0.0,,,3.0,3.8,,,1.7,,,,,,3.4,,1.7,,,3.5,,,,,4.3,0.0,,,0.0,,,,0.8,0.8,,,,,1.4,,2.2,0.0,,,,,,,,,,,0.0,,,0.0,0.1,,,2.4,,,,,3.9,,,,,,,2.2,1.7,,,,,0.0,,,,,,,,,2.7,,2.5,,0.0,,,,,,,,,0.0,3.7,,,,,,,,,,,,,,,,,,,2.7,,,,1.2,3.8
user00116,,,,0.0,2.1,,,,,,,,,,0.0,,,,,,2.1,,4.4,5.0,,,,,3.3,3.4,,,1.9,,,4.1,,,,,,2.5,0.8,0.0,0.0,,,,,2.8,,1.2,5.0,,,1.6,,,3.8,,2.7,,,,,,,,3.2,,,,,3.2,,,,2.3,,,,,0.7,,1.4,,,4.5,,,,,,,0.0,,,,3.1,,3.0,,,,,,0.9,,,,,1.6,,1.9,,1.0,3.9,,0.6,3.3,,,,,0.0,,4.1,3.8,,0.0,,0.0,1.9,0.0,0.0,,,2.8,,,,,2.7,3.9,,,0.0,,,2.8,1.3,3.7,,2.4,,,,2.4,,,,,,,,3.8,,,,,,,0.5,,,,4.1,,,,3.6,1.7,,,,,,,,,2.2,,,,4.4,,,3.3,0.0,,,,3.4,,2.3,4.4,,,,5.0,,1.7,2.5,2.2,2.0,,,2.4,,0.0,,0.0,,1.7,,,,,,0.0,0.0,,,3.0,,,,,,,,0.7,1.3,,,2.3,,,,2.1,,,,4.1,5.0,4.3,,,0.4,,,,,,,,,,,3.2,,2.6,3.7,,3.6,,,0.7,,4.1,5.0,,0.0,1.0,1.0,,,,3.4,,,,,1.8,,0.0,,1.1,
